Name;ID;Content;Comments;Retweet;Likes
adri  ?? is seeing harry;delightfulouist;"Tengan cuidado con los perritos callejeros por favor

 #21NSomosTodos pic.twitter.com/Xd2YEWFwXo";1;291;547
Pacho Guerra;lupachoguerra;"Sidney 
#MarcharEnPaz
#21NSomosTodos 
#ParoNacional21Nov 
#YoParoEl21NSinMiedohttps://twitter.com/GRANALEJO1/status/1197478188319825920 …";;13;44
Publimetro Colombia;PublimetroCol;Hoy su Publimetro tiene un regalo para todos los ciudadanos que salen a marchar, sus mensajes sobre este histórico día serán nuestra portada #21NSomosTodos #MarchaEnPaz #MarchaColombia #Colombiapic.twitter.com/YJQEj2mBf1;121;1.5K;6.4K
Alejandro López Mora;AlejoLopezMora;"Tod@s a marchar 
#21NSomosTodos";1;1;3
M A R C E???? ????;marcelasvjm;"A darle
#21NSomosTodos";;;3
Rodeemos el Diálogo;RodeemosDialogo;"ReD UK will be this afternoon from London supporting Colombian Peace. Join us! 

#SolidarityForPeace 

#21NSomosTodos https://twitter.com/RodeemosDialogo/status/1197154350344364032 …";1;5;18
fardeen313;fardeen3131;;;;
durden.;vanbasten_n;"Not really lol.

#21NSomosTodos";;;2
Diego Niño;diegoninor;Gonna tell my kids that today is the day we woke up.  #21NSomosTodos;1;5;23
The Bogota Post;BogotaPost;The march heading to the centre from Parque de los Hippies #ParoNacional #21NSomosTodos #MarchaenPazpic.twitter.com/195TrpsOoe;2;14;63
Global Analytica;AnalyticaGlobal;"#Colombia | Workers and students called a national strike to protest against the government of #IvanDuque.

#21NSomosTodos #MarchaEnPaz #ParoNacionalpic.twitter.com/MNq0v4ZLPP";2;34;79
Rosarito?;MielDeFlorez;"Not my president! 
#21NSomosTodos 
#21NParoNacional pic.twitter.com/8oSezZpNxu";3;4;66
Cami ??;xhcmrx;;2;1;19
Kayla McColley;Kayla_Marie82;"http://share.tap2earn.co/kaylamccolley 
Free $15 just for signing up and get paid straight to your CashApp or PayPal!
 #21NSomosTodos";;;
Juancho ?? ? (Juan David);juanchorrolls;Chase dem!  #21NSomosTodos https://youtu.be/ACdZRDmcdKg ;1;;1
 ?? ??Manuel Alejandro ?? ?? ??;BudaNegro8;"666
This world shall know pain
666

pic.twitter.com/wDWiPrrjNn

#21NSomosTodos ""Autopista Sur"" #HoyNoMarchoPor #transmilenio #21Nov #paro21denoviembre ""ESMAD"" #YoParoEl21NSinMiedo #FelizJueves";;;1
Free Player;FreePlayer17;#GENE7??????? #StartAnArgumentIn4Words #LabourManifesto #21NSomosTodos #FelizJueves ?SPARTA ON THE RISE https://youtu.be/34oJoXATOt8  via @YouTube;1;;
Karen  ????;RojasKarenD;"Today is a day history teachers are gonna be talking about in the future, a story we will tell our children and grandchildren and so on. …


#21N 
#21NSomosTodos
#YoParoEl21NSinMiedo";2;12;46
I COMMENT;Andrea_Q23;"Por una COLOMBIA como n justicia social y en paz yo marcho! Viva la Colombia protestante!!!! 

#21NSomosTodos pic.twitter.com/CfaxjJUlfh";3;156;388
Roberth;roberthrzm12;#21NSomosTodos pic.twitter.com/hP8JiIPkzd;2;171;648
"Angie;  ????";Angie_Monsalve1;Mi mamá dijo que le gustaría salir a marchar, pero por todo lo que hacen los del SMAD le da miedo, he aquí un ejemplo de la campaña  de terror del gobierno, causar pánico colectivo para que la gente no salga a las calles #21NSomosTodos;13;391;1.2K
Danigv22;Daniel0ta;Quisiera estar en Colombia y apoyar toda esta lucha, ahora estoy emocionada y esperanzada por que se ha despertado. Esta pancarta describe muy bien la situación de muchas personas que hemos pasamos por esto. #21NSomosTodos  #21NParoNacionalpic.twitter.com/uYKK9RNWMv;15;878;2.6K
Abram  López?;AbramlOficial1;A marchar Mi Gente Pacíficamente YA es Hora De Despertar.  #21NSomosTodos pic.twitter.com/hHBJ3z3ot6;16;234;946
María Serna;maria__serna;Here's why Colombia is striking. #21NoviembreParoNacional #21Nov #21NSomosTodos #21N  https://www.instagram.com/p/B5HbxfuHl51/?utm_source=ig_web_options_share_sheet …;;;2
Pacho Guerra;lupachoguerra;"Melbourne Australia
#MarcharEnPaz
#21NSomosTodos 
#ParoNacional21Nov 
#YoParoEl21NSinMiedohttps://twitter.com/CPhilipSaw/status/1197471916543528963 …";;23;65
Laura Yepes;LauritaYepes13;"Medellín amaneció hermosa y rebelde, marchando como gesto de solidaridad y compasión con las futuras generaciones, porque la nuestra es la del cambio!  
#ParoNacional21NovSinMiedo
#21NSomosTodos pic.twitter.com/gz7dk40GRK";110;2.9K;9.9K
Camilo Garcia;CamiloGarciaal;"#21NSomosTodos

Aprovechando el día del paro para recordarles que los infiltrados del ESMAD siempre tratarán de arruinar las marchas y justificar sus ataques el uso de la violencia, porque siempre son ellos quién se auto atacan y no los civiles, como nos quieren hacer pensar. pic.twitter.com/kP2BD3qDbf";23;493;864
 ????g ?????????®?;BigWinnieman;Las protestas en suba están pacificas, pero aún así comenzaron a tirar gases lacrimógenos  dicen que no aceptan violencia pero los primeros que la ejercen son ellos #21NSomosTodos  pic.twitter.com/wgK65ekYZS;13;353;758
